,ADRA2A,Group
normal_1,55.62304343,Con
normal_2,33.23101768,Con
normal_3,59.77015981,Con
normal_4,52.95443357,Con
normal_5,28.7145319,Con
normal_6,56.11028544,Con
HD_1,16.57896584,HD
HD_2,20.56614445,HD
HD_3,17.02468398,HD
HD_4,25.07701184,HD
HD_5,7.175937157,HD
HD_6,9.953590655,HD
HD_7,6.694909661,HD
HD_8,24.62780609,HD
