,normal_1,normal_2,normal_3,normal_4,normal_5,normal_6,normal_7,normal_8,normal_9,normal_10,normal_11,normal_12,normal_13,normal_14,symptomatic_1,symptomatic_2,symptomatic_3,symptomatic_4,symptomatic_5,symptomatic_6,symptomatic_7,symptomatic_8,symptomatic_9,symptomatic_10,symptomatic_11,symptomatic_12
DNAJC10,15.97580645,30.92301075,22.33897849,10.91129032,4.675806452,20.70672043,42.95182796,28.19567204,17.28978495,25.09801075,15.90295699,19.60053763,2.712903226,20.61387097,55.93160557,35.03752688,45.28225806,41.64784946,43.98653226,54.88306452,41.61182796,44.54717742,60.4838172,40.43951613,41.71712366,50.09698925
WIZ,42.57263441,101.194086,42.60016129,79.5311828,63.75053763,52.83177419,40.14951613,61.53521505,73.3766129,53.43548387,28.70053763,49.69973118,21.57768817,30.3483871,24.17741935,39.77467742,39.24327957,45.80215054,56.88264337,24.43158602,63.87594086,41.55875576,53.24086022,33.5411828,37.10453149,55.79980799
C6orf120,32.57201613,68.61102151,43.60034946,48.52886713,47.66129032,78.84586022,43.93924731,44.55672043,29.93290323,30.18319892,10.86516129,46.34018817,63.71443932,57.48333333,112.5677419,46.97123656,132.5795699,88.67879032,116.7376344,83.82580645,61.0583871,71.82946237,63.41747312,69.00134409,56.00849462,118.4596774
RHOT2,59.12594086,102.5686022,103.7554839,88.22225806,69.67032258,67.58290323,136.5222849,91.6288172,110.0728495,141.6387097,127.9346774,81.94639785,94.89811828,99.39193548,61.62096774,120.1252688,111.3075269,94.55061828,153.6521505,63.7265745,53.88655914,67.64865591,78.83978495,58.69233871,50.32016129,73.34516129
LDLRAP1,326.5028495,231.1086021,374.8591398,482.8354839,282.3236559,275.4806452,313.752957,234.4734409,423.3475422,818.1653226,339.0419355,298.055914,349.3311828,354.7645161,245.7553763,234.1020161,202.0397849,184.1316667,245.8612903,237.5583333,268.3880108,261.1418866,240.297043,268.2319892,255.4537634,316.6039247
TMA7,250.9591398,622.1510753,490.0048387,232.3584677,486.347043,360.422043,356.6897849,328.997043,418.0051808,438.3083333,724.0956989,306.5387097,569.5153226,181.0120968,454.5928571,291.1021505,783.1133871,821.4741935,344.4090783,644.7198925,335.7973118,561.2604839,387.5736559,514.8905914,536.0591398,615.427566
DOCK6,36.10612903,41.48747312,51.00075269,55.31956989,52.87053763,55.35994624,48.15736559,35.31454685,36.67284946,70.76462366,46.10290323,33.59344086,20.06521505,48.0127957,22.94129032,21.82688172,17.44784946,22.57080645,30.63532258,24.06548387,22.6261828,49.88734767,45.54860215,35.19435484,45.98650538,51.06790323
OXLD1,82.45475806,78.24806452,84.76494624,41.07365591,60.41115591,65.18980735,67.45806452,74.93356079,101.4045699,109.5971113,83.05094086,94.98655914,89.10725807,103.4900269,87.75225806,78.64919355,68.7625,63.65096774,68.94747312,48.69795699,78.25645161,86.5233871,77.43935484,64.31026882,65.43034946,102.9560215
CHPF2,81.77311828,122.8125448,36.98365591,34.63661674,39.4072043,105.3002688,147.8252688,100.0865054,123.330914,74.62241935,166.736828,170.3507796,117.0723118,63.67139785,97.87580645,97.56182796,93.04462366,79.97591398,77.71233871,87.49736559,124.0746237,84.23548387,100.9317204,77.51763441,139.1836022,74.95443548
FAAP100,107.3880914,85.49301075,72.90900154,80.50645161,165.1356452,135.3004032,113.1021505,113.0159677,101.2448387,175.756586,136.4013979,107.8642473,97.87580645,111.2264247,86.44771505,93.05693548,77.60672043,98.85388751,116.4909524,88.99758065,100.5978495,82.04967742,102.9814247,91.82728495,71.38489247,97.72650538
